科室,排名,医院名称,官网URL,省份,城市
泌尿外科,1,中国医科大学附属第一医院,https://jiankang.baidu.com/med/template/#/pages/hospital/iframe/index?pcIframeSrc=https%3A%2F%2Fjiankang.baidu.com%2F%23%2Fpages%2Fbrand%2Fsearch%2Findex%3Fatn%3Dsearch%26clk_loc%3Dsearch5041_module2_dxwz%26customParams%3DmedQuSndDept%253D%2525E5%2525A6%252587%2525E7%2525A7%252591%26from_sf%3D1%26hidden_tab%3D1%26hospital_name%3D%25E4%25B8%25AD%25E5%259B%25BD%25E5%258C%25BB%25E7%25A7%2591%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%26openapi%3D1%26pd%3Dmed%26resource_id%3D5216%26search_channel%3Dwz%26search_section%3Dwz%26sf_ref%3Dsearch_5041_pc%26title%3D%25E6%2590%259C%25E7%25B4%25A2%26vn%3Dmed%26word%3D%25E4%25B8%25AD%25E5%259B%25BD%25E5%258C%25BB%25E7%25A7%2591%25E5%25A4%25A7%25E5%25AD%25A6%25E9%2599%2584%25E5%25B1%259E%25E7%25AC%25AC%25E4%25B8%2580%25E5%258C%25BB%25E9%2599%25A2%2B%25E5%25AE%2598%25E7%25BD%2591,,
泌尿外科,2,中国医科大学附属盛京医院,https://www.shengjing.com/,,
泌尿外科,3,吉林大学第一医院,https://www.bohe.cn/hospital/1686/introduce/,吉林,
泌尿外科,4,哈尔滨医科大学附属第二医院,https://www.hrbmush.edu.cn/,黑龙江,哈尔滨
泌尿外科,5,哈尔滨医科大学附属第一医院,https://www.hydyy.org.cn/,黑龙江,哈尔滨
泌尿外科,6,中国人民解放军北部战区总医院,https://www.81hospital.com/,辽宁,沈阳
泌尿外科,7,哈尔滨医科大学附属肿瘤医院,https://www.hrbmush.edu.cn/,黑龙江,哈尔滨
泌尿外科,8,哈尔滨医科大学附属第四医院,,黑龙江,哈尔滨
泌尿外科,9,吉林大学中日联谊医院,https://www.zrlyyy.com/,吉林,
泌尿外科,10,大连医科大学附属第一医院,https://www.dmu-1.com/,辽宁,大连
泌尿外科,获提名,吉林大学第二医院,https://www.jdey.com.cn/,吉林,
泌尿外科,获提名,大连医科大学附属第二医院,https://www.shdmu.com/,辽宁,大连
泌尿外科,获提名,中国医科大学附属第四医院,,,
